OBJECTID,Boro,Type,Provider,Name,Location,Lat,Long_,X,Y,Location_T,Remarks,City,SSID,SourceID,"Location (Lat, Long)"
449,QU,Free,QPL,"Ravenswood, Now a Family Literacy Center",35-32 21 STREET,40.7606431176,-73.9364719875,1001849.07503,216405.901884,Library,,Long Island City,QBPL_WIRELESS,0,"Long Island City
(40.76064311760, -73.93647198750)"
450,QU,Free,QPL,Woodside,54-22 SKILLMAN AVENUE,40.745341713,-73.9097937387,1009245.45098,210837.593138,Library,,Woodside,QBPL_WIRELESS,0,"Woodside
(40.74534171300, -73.90979373870)"
455,MN,Free,NYPL,Science Industry And Business,188 MADISON AVENUE,40.7481246964,-73.9830630999,988942.887584,211839.106883,Library,,New York,NYPL,0,"New York
(40.74812469640, -73.98306309990)"
456,MN,Free,NYPL,Roosevelt Island,524 MAIN STREET,40.7612533724,-73.9501658898,998055.346721,216625.783006,Library,,New York,NYPL,0,"New York
(40.76125337240, -73.95016588980)"
470,MN,Free,NYPL,Stephen A. Schwarzman Building,5 AVENUE & 42 STREET,40.7531840458,-73.9821581041,989193.268973,213682.440795,Library,Temporary Closing,New York,NYPL,0,"New York
(40.75318404580, -73.98215810410)"
491,MN,Free,NYPL,Kips Bay,446 THIRD AVENUE,40.7438226298,-73.9799076544,989817.560047,210271.911199,Library,,New York,NYPL,0,"New York
(40.74382262980, -73.97990765440)"
492,MN,Free,NYPL,Andrew Heiskell Braille & Talking Book Library,40 WEST 20 STREET,40.7404654556,-73.9933569112,986090.883117,209048.217124,Library,,New York,NYPL,0,"New York
(40.74046545560, -73.99335691120)"
494,QU,Free,QPL,Broadway,40-20 BROADWAY,40.758529267,-73.9186233204,1006794.3801,215639.846985,Library,,Long Island City,QBPL_WIRELESS,0,"Long Island City
(40.75852926700, -73.91862332040)"
507,QU,Free,QPL,Long Island City,37-44 21 STREET,40.757803428,-73.939309302,1001063.77476,215370.753035,Library,,Long Island City,QBPL_WIRELESS,0,"Long Island City
(40.75780342800, -73.93930930200)"
511,MN,Free,NYPL,Grand Central,135 EAST 46 STREET,40.7540678756,-73.9735677168,991573.221234,214005.050058,Library,,New York,NYPL,0,"New York
(40.75406787560, -73.97356771680)"
3551,MN,Free,Transit Wireless,"59th Street - Columbus Circle - A, B, C, D",Broadway - West 59 Street- Columbus Circle,40.768296,-73.981736,989309.069034,219188.2451,Subway Station,SN 161,New York,TransitWirelessWiFi,161,"New York
(40.76829600000, -73.98173600000)"
3552,MN,Free,Transit Wireless,"5th Avenue - 53rd Street - E, M",5th Avenue - 53rd Street,40.760167,-73.975224,991113.709645,216227.025645,Subway Station,SN 276,New York,TransitWirelessWiFi,276,"New York
(40.76016700000, -73.97522400000)"
3553,MN,Free,Transit Wireless,"5th Avenue - 59th Street - N, R",5th Avenue - 59th Street,40.764811,-73.973347,991633.181218,217919.140088,Subway Station,SN 8,New York,TransitWirelessWiFi,8,"New York
(40.76481100000, -73.97334700000)"
3554,MN,Free,Transit Wireless,5th Avenue - 7,5th Avenue and East 42 Street,40.753821,-73.981963,989247.27667,213914.514898,Subway Station,SN 466,New York,TransitWirelessWiFi,466,"New York
(40.75382100000, -73.98196300000)"
3555,MN,Free,Transit Wireless,66th Street ΓÇô (Lincoln Center) - 1,66th St. ΓÇô Broadway (Lincoln Center),40.77344,-73.982209,989177.668927,221062.348746,Subway Station,SN 314,New York,TransitWirelessWiFi,314,"New York
(40.77344000000, -73.98220900000)"
3556,MN,Free,Transit Wireless,"72nd St. ΓÇô Broadway - 1, 2, 3",72nd Street - Broadway,40.778453,-73.98197,989243.490115,222888.766621,Subway Station,SN 313,New York,TransitWirelessWiFi,313,"New York
(40.77845300000, -73.98197000000)"
3557,MN,Free,Transit Wireless,"72nd Street - Central Park West - B, C",72nd Street - Central Park West,40.775594,-73.97641,990783.637762,221847.50252,Subway Station,SN 160,New York,TransitWirelessWiFi,160,"New York
(40.77559400000, -73.97641000000)"
3559,MN,Free,Transit Wireless,"7th Avenue - B, D, E",7th Avenue - 53rd Street,40.762862,-73.981637,989336.906736,217208.465124,Subway Station,SN 277,New York,TransitWirelessWiFi,277,"New York
(40.76286200000, -73.98163700000)"
3566,MN,Free,Transit Wireless,Grand Central - 7,Lexington Avenue and East 42 Street,40.751431,-73.976041,990888.246207,213044.153909,Subway Station,SN 465,New York,TransitWirelessWiFi,465,"New York
(40.75143100000, -73.97604100000)"
